nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.9,1153.9
1500,1154.02,1154.02
2500,1153.75,1153.75
3500,1154.08,1154.08
4500,1153.97,1153.97
5500,1154.11,1154.11
6500,1154.11,1154.11
7500,1154.01,1154.01
8500,1154.07,1154.07
9500,1153.95,1153.95
10500,1154.03,1154.03
11500,1153.92,1153.92
12500,1153.99,1153.99
13500,1154,1154
14500,1153.84,1153.84
15500,1154.02,1154.02
16500,1154.12,1154.12
17500,1153.96,1153.96
18500,1154.09,1154.09
19500,1153.83,1153.83
20500,1153.89,1153.89
21500,1154,1154
22500,1153.86,1153.86
23500,1154.09,1154.09
24500,1154.08,1154.08
25500,1153.83,1153.83
26500,1153.79,1153.79
27500,1154.08,1154.08
28500,1154.04,1154.04
29500,1153.96,1153.96
30000,1153.93,1153.93
500,1153.97,1153.97
1500,1154.17,1154.17
2500,1154.18,1154.18
3500,1154.15,1154.15
4500,1153.98,1153.98
5500,1153.95,1153.95
6500,1154.18,1154.18
7500,1154.08,1154.08
8500,1153.98,1153.98
9500,1154.14,1154.14
10500,1153.95,1153.95
11500,1154,1154
12500,1153.93,1153.93
13500,1153.82,1153.82
14500,1154,1154
15500,1154,1154
16500,1153.95,1153.95
17500,1153.84,1153.84
18500,1153.95,1153.95
19500,1154,1154
20500,1153.91,1153.91
21500,1154.01,1154.01
22500,1154.01,1154.01
23500,1154,1154
24500,1153.97,1153.97
25500,1154.09,1154.09
26500,1154.17,1154.17
27500,1153.98,1153.98
28500,1153.86,1153.86
29500,1153.84,1153.84
30000,1154.03,1154.03
