nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.79,3356.79
1500,3356.69,3356.69
2500,3356.73,3356.73
3500,3356.75,3356.75
4500,3356.97,3356.97
5500,3356.85,3356.85
6500,3356.91,3356.91
7500,3356.62,3356.62
8500,3356.79,3356.79
9500,3356.82,3356.82
10500,3356.96,3356.96
11500,3356.75,3356.75
12500,3357,3357
13500,3357.04,3357.04
14500,3356.83,3356.83
15500,3356.93,3356.93
16500,3356.81,3356.81
17500,3356.91,3356.91
18500,3356.72,3356.72
19500,3356.81,3356.81
20500,3356.82,3356.82
21500,3356.88,3356.88
22500,3356.95,3356.95
23500,3356.73,3356.73
24500,3356.99,3356.99
25500,3356.79,3356.79
26500,3356.83,3356.83
27500,3356.91,3356.91
28500,3356.89,3356.89
29500,3357.04,3357.04
30000,3356.95,3356.95
