nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1018.98,1018.98
1500,1019.18,1019.18
2500,1019.05,1019.05
3500,1019.05,1019.05
4500,1019.15,1019.15
5500,1018.93,1018.93
6500,1019.04,1019.04
7500,1018.92,1018.92
8500,1019.11,1019.11
9500,1018.75,1018.75
10500,1018.98,1018.98
11500,1018.92,1018.92
12500,1018.87,1018.87
13500,1019.02,1019.02
14500,1019.07,1019.07
15500,1019.01,1019.01
16500,1019,1019
17500,1018.98,1018.98
18500,1018.98,1018.98
19500,1019.11,1019.11
20500,1019.13,1019.13
21500,1019.12,1019.12
22500,1018.87,1018.87
23500,1018.89,1018.89
24500,1018.91,1018.91
25500,1018.96,1018.96
26500,1019.14,1019.14
27500,1018.87,1018.87
28500,1018.85,1018.85
29500,1018.89,1018.89
30000,1018.9,1018.9
