nprobe,QPS,Recall@10
500,64578.7,0.83367
1500,48182.8,0.95588
2500,32258.3,0.97548
3500,24661.1,0.98174
4500,19999.2,0.98384
5500,16319,0.9847
6500,13318.7,0.98498
7500,13296.5,0.9851
8500,11098.5,0.98521
9500,9907.54,0.98527
10500,9881.89,0.98529
11500,8672.28,0.9853
12500,8600.68,0.98531
13500,7611.12,0.98531
14500,7220.78,0.98531
15500,6500.25,0.98531
16500,6580.87,0.98531
17500,6473.99,0.98531
18500,5572.08,0.98531
19500,5364.73,0.98531
20500,5054.97,0.98531
21500,5305.1,0.98531
22500,4790.63,0.98531
23500,5012.69,0.98531
24500,4791.25,0.98531
25500,4650.43,0.98531
26500,4435.48,0.98531
27500,4377.55,0.98531
28500,4266.71,0.98531
29500,4263.21,0.98531
30000,3963.64,0.98531
