nprobe,peak_memory_before_MB,peak_memory_after_MB
500,99.8867,99.8867
1500,100.051,100.051
2500,99.8867,99.8867
3500,99.8945,99.8945
4500,100.051,100.051
5500,100.113,100.113
6500,99.9258,99.9258
7500,100.141,100.141
8500,99.8906,99.8906
9500,99.8281,99.8281
10500,100.113,100.113
11500,100.066,100.066
12500,99.9258,99.9258
13500,100.078,100.078
14500,99.957,99.957
15500,99.9258,99.9258
16500,100.074,100.074
17500,100.18,100.18
18500,100.012,100.012
19500,99.8086,99.8086
20500,99.9844,99.9844
21500,99.9062,99.9062
22500,100.102,100.102
23500,99.957,99.957
24500,100.113,100.113
25500,100.051,100.051
26500,99.9883,99.9883
27500,99.9883,99.9883
28500,99.8086,99.8086
29500,99.9414,99.9414
30000,99.9688,99.9688
