nprobe,peak_memory_before_MB,peak_memory_after_MB
500,99.9375,99.9375
1500,99.9258,99.9258
2500,99.8516,99.8516
3500,100.148,100.148
4500,99.9844,99.9844
5500,100.047,100.047
6500,99.8086,99.8086
7500,99.8633,99.8633
8500,100.012,100.012
9500,100.027,100.027
10500,99.9492,99.9492
11500,100.09,100.09
12500,99.8086,99.8086
13500,100.078,100.078
14500,100.129,100.129
15500,100.102,100.102
16500,100.078,100.078
17500,100.168,100.168
18500,99.9844,99.9844
19500,99.9258,99.9258
20500,99.7617,99.7617
21500,99.8242,99.8242
22500,99.8477,99.8477
23500,100.094,100.094
24500,99.8906,99.8906
25500,99.9219,99.9219
26500,99.9844,99.9844
27500,99.9531,99.9531
28500,100.113,100.113
29500,99.8633,99.8633
30000,100.012,100.012
