nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.5703,93.5703
1500,93.3125,93.3125
2500,93.5,93.5
3500,93.4648,93.4648
4500,93.375,93.375
5500,93.5078,93.5078
6500,93.2266,93.2266
7500,93.5,93.5
8500,93.6211,93.6211
9500,93.582,93.582
10500,93.4492,93.4492
11500,93.2695,93.2695
12500,93.6289,93.6289
13500,93.4688,93.4688
14500,93.3672,93.3672
15500,93.4375,93.4375
16500,93.4961,93.4961
17500,93.293,93.293
18500,93.4688,93.4688
19500,93.5469,93.5469
20500,93.5586,93.5586
21500,93.4688,93.4688
22500,93.5977,93.5977
23500,93.582,93.582
24500,93.2695,93.2695
25500,93.3516,93.3516
26500,93.2656,93.2656
27500,93.4961,93.4961
28500,93.3906,93.3906
29500,93.4219,93.4219
30000,93.5938,93.5938
