nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.01,1256.01
1500,1256.34,1256.34
2500,1256.24,1256.24
3500,1256.24,1256.24
4500,1256.35,1256.35
5500,1256.22,1256.22
6500,1256.3,1256.3
7500,1256,1256
8500,1256.07,1256.07
9500,1256.14,1256.14
10500,1256.3,1256.3
11500,1256.26,1256.26
12500,1256.39,1256.39
13500,1256.31,1256.31
14500,1256.36,1256.36
15500,1256.24,1256.24
16500,1256.34,1256.34
17500,1256.34,1256.34
18500,1256.22,1256.22
19500,1256.15,1256.15
20500,1256.36,1256.36
21500,1256.23,1256.23
22500,1256.46,1256.46
23500,1256.33,1256.33
24500,1256.32,1256.32
25500,1256.36,1256.36
26500,1256.28,1256.28
27500,1256.17,1256.17
28500,1256.3,1256.3
29500,1256.14,1256.14
30000,1256.36,1256.36
