nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.81,1111.81
1500,1111.8,1111.8
2500,1111.7,1111.7
3500,1111.78,1111.78
4500,1111.85,1111.85
5500,1111.66,1111.66
6500,1111.82,1111.82
7500,1111.99,1111.99
8500,1111.91,1111.91
9500,1111.95,1111.95
10500,1111.71,1111.71
11500,1111.82,1111.82
12500,1111.65,1111.65
13500,1111.59,1111.59
14500,1111.73,1111.73
15500,1111.95,1111.95
16500,1111.76,1111.76
17500,1111.95,1111.95
18500,1111.75,1111.75
19500,1111.75,1111.75
20500,1111.65,1111.65
21500,1111.7,1111.7
22500,1111.64,1111.64
23500,1111.65,1111.65
24500,1111.78,1111.78
25500,1111.71,1111.71
26500,1111.69,1111.69
27500,1111.89,1111.89
28500,1111.95,1111.95
29500,1111.75,1111.75
30000,1111.82,1111.82
