nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.93,1153.93
1500,1153.94,1153.94
2500,1154,1154
3500,1154,1154
4500,1154.06,1154.06
5500,1153.86,1153.86
6500,1153.88,1153.88
7500,1153.76,1153.76
8500,1153.76,1153.76
9500,1153.86,1153.86
10500,1154.05,1154.05
11500,1154.15,1154.15
12500,1153.85,1153.85
13500,1154.03,1154.03
14500,1154.04,1154.04
15500,1154.05,1154.05
16500,1154.12,1154.12
17500,1153.96,1153.96
18500,1153.95,1153.95
19500,1153.9,1153.9
20500,1154.06,1154.06
21500,1154.07,1154.07
22500,1154.01,1154.01
23500,1154.16,1154.16
24500,1154.03,1154.03
25500,1154.01,1154.01
26500,1153.94,1153.94
27500,1154.1,1154.1
28500,1154,1154
29500,1154.09,1154.09
30000,1154.12,1154.12
