nprobe,QPS,Recall@10
500,9391.91,0.82336
1500,5716.49,0.95142
2500,4317.03,0.97432
3500,3297.5,0.98106
4500,2817.54,0.98366
5500,2358.63,0.98474
6500,2064.11,0.9852
7500,1800.12,0.9854
8500,1626.31,0.98546
9500,1530.24,0.98553
10500,1398.64,0.98555
11500,1302.6,0.98559
12500,1160.64,0.98562
13500,1132.29,0.98563
14500,1070.76,0.98563
15500,991.08,0.98563
16500,893.449,0.98563
17500,879.154,0.98563
18500,867.601,0.98563
19500,829.437,0.98563
20500,798.533,0.98563
21500,756.93,0.98563
22500,742.521,0.98563
23500,698.687,0.98563
24500,674.609,0.98563
25500,678.429,0.98563
26500,662.485,0.98563
27500,644.749,0.98563
28500,595.897,0.98563
29500,585.899,0.98563
30000,583.667,0.98563
