nprobe,peak_memory_before_MB,peak_memory_after_MB
500,93.4102,93.4102
1500,93.2266,93.2266
2500,93.6328,93.6328
3500,93.3906,93.3906
4500,93.6484,93.6484
5500,93.3242,93.3242
6500,93.2891,93.2891
7500,93.5586,93.5586
8500,93.375,93.375
9500,93.3672,93.3672
10500,93.4297,93.4297
11500,93.3047,93.3047
12500,93.5352,93.5352
13500,93.4375,93.4375
14500,93.6328,93.6328
15500,93.4219,93.4219
16500,93.5938,93.5938
17500,93.4453,93.4453
18500,93.293,93.293
19500,93.5547,93.5547
20500,93.4336,93.4336
21500,93.2812,93.2812
22500,93.5859,93.5859
23500,93.1914,93.1914
24500,93.5273,93.5273
25500,93.4453,93.4453
26500,93.5234,93.5234
27500,93.3047,93.3047
28500,93.5195,93.5195
29500,93.2891,93.2891
30000,93.4688,93.4688
