nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.05,7505.05
1500,7505.16,7505.16
2500,7505.16,7505.16
3500,7505.11,7505.11
4500,7504.93,7504.93
5500,7505.03,7505.03
6500,7505.18,7505.18
7500,7505.2,7505.2
8500,7505.15,7505.15
9500,7504.98,7504.98
10500,7504.98,7504.98
11500,7505.18,7505.18
12500,7504.99,7504.99
13500,7505.14,7505.14
14500,7505.14,7505.14
15500,7505.07,7505.07
16500,7505.11,7505.11
17500,7504.99,7504.99
18500,7504.93,7504.93
19500,7505.06,7505.06
20500,7505.03,7505.03
21500,7505,7505
22500,7504.95,7504.95
23500,7505.2,7505.2
24500,7505.17,7505.17
25500,7505.18,7505.18
26500,7505.24,7505.24
27500,7505.17,7505.17
28500,7504.93,7504.93
29500,7505.21,7505.21
30000,7505.18,7505.18
