nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.83,1111.83
1500,1111.93,1111.93
2500,1111.96,1111.96
3500,1111.73,1111.73
4500,1111.73,1111.73
5500,1111.84,1111.84
6500,1111.89,1111.89
7500,1111.77,1111.77
8500,1112.02,1112.02
9500,1111.84,1111.84
10500,1111.92,1111.92
11500,1111.72,1111.72
12500,1111.86,1111.86
13500,1111.7,1111.7
14500,1111.7,1111.7
15500,1111.89,1111.89
16500,1111.92,1111.92
17500,1111.78,1111.78
18500,1111.87,1111.87
19500,1111.65,1111.65
20500,1111.7,1111.7
21500,1111.82,1111.82
22500,1111.83,1111.83
23500,1111.91,1111.91
24500,1111.61,1111.61
25500,1111.95,1111.95
26500,1111.85,1111.85
27500,1111.82,1111.82
28500,1111.73,1111.73
29500,1111.82,1111.82
30000,1111.83,1111.83
