nprobe,QPS,Recall@10
500,3542.9,0.1143
1500,1914.26,0.2524
2500,1271.96,0.3445
3500,921.906,0.4098
4500,745.119,0.4682
5500,630.024,0.5154
6500,549.881,0.5499
7500,486.154,0.5816
8500,433.913,0.6126
9500,395.572,0.6375
10500,360.356,0.6589
11500,329.717,0.6812
12500,310.985,0.7006
13500,287.076,0.7176
14500,271.905,0.7323
15500,255.521,0.7459
16500,241.626,0.759
17500,226.66,0.7716
18500,217.565,0.7822
19500,206.615,0.7917
20500,196.058,0.8006
21500,187.807,0.8078
22500,181.023,0.815
23500,173.9,0.824
24500,167.139,0.8301
25500,161.645,0.8358
26500,154.601,0.8411
27500,150.358,0.8474
28500,144.793,0.8537
29500,139.404,0.8588
30000,136.493,0.8624
