nprobe,QPS,Recall@10
500,11316.8,0.37518
1500,8115.8,0.56658
2500,6379.81,0.65131
3500,5254.66,0.70418
4500,4467.79,0.74169
5500,3887.48,0.7692
6500,3447.52,0.79167
7500,3094.49,0.8108
8500,2781.77,0.82692
9500,2534.17,0.83983
10500,2338,0.85124
11500,2161.75,0.86139
12500,2017.28,0.87038
13500,1883.48,0.87802
14500,1778.36,0.88544
15500,1684.41,0.89189
16500,1584.68,0.89745
17500,1510.07,0.90253
18500,1445.85,0.90778
19500,1377.64,0.91244
20500,1320.12,0.91637
21500,1264.67,0.92009
22500,1208.5,0.92365
23500,1161.66,0.92694
24500,1128.73,0.9301
25500,1088.46,0.93271
26500,1045.64,0.9351
27500,1012.38,0.93777
28500,983.586,0.94
29500,951.565,0.94213
30000,934.118,0.94318
