nprobe,QPS,Recall@10
500,2129.75,0.9743
1500,893.26,0.9834
2500,803.144,0.9834
3500,805.477,0.9834
4500,805.88,0.9834
5500,805.022,0.9834
6500,806.14,0.9834
7500,806.702,0.9834
8500,800.736,0.9834
9500,807.837,0.9834
10500,804.12,0.9834
11500,802.092,0.9834
12500,807.506,0.9834
13500,806.939,0.9834
14500,806.816,0.9834
15500,804.206,0.9834
16500,804.467,0.9834
17500,803.629,0.9834
18500,794.794,0.9834
19500,806.94,0.9834
20500,805.771,0.9834
21500,806.242,0.9834
22500,806.626,0.9834
23500,805.904,0.9834
24500,800.045,0.9834
25500,802.464,0.9834
26500,801.394,0.9834
27500,805.586,0.9834
28500,807.666,0.9834
29500,807.277,0.9834
30000,810.051,0.9834
