nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1030.7,1030.7
1500,1030.64,1030.64
2500,1030.73,1030.73
3500,1030.79,1030.79
4500,1030.76,1030.76
5500,1030.77,1030.77
6500,1030.59,1030.59
7500,1030.77,1030.77
8500,1030.53,1030.53
9500,1030.58,1030.58
10500,1030.57,1030.57
11500,1030.77,1030.77
12500,1030.56,1030.56
13500,1030.61,1030.61
14500,1030.6,1030.6
15500,1030.6,1030.6
16500,1030.67,1030.67
17500,1030.82,1030.82
18500,1030.71,1030.71
19500,1030.71,1030.71
20500,1030.7,1030.7
21500,1030.53,1030.53
22500,1030.52,1030.52
23500,1030.55,1030.55
24500,1030.66,1030.66
25500,1030.79,1030.79
26500,1030.64,1030.64
27500,1030.53,1030.53
28500,1030.52,1030.52
29500,1030.75,1030.75
30000,1030.68,1030.68
