nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.96,3356.96
1500,3357.02,3357.02
2500,3356.71,3356.71
3500,3357.03,3357.03
4500,3356.91,3356.91
5500,3356.81,3356.81
6500,3356.96,3356.96
7500,3356.89,3356.89
8500,3356.96,3356.96
9500,3356.67,3356.67
10500,3356.97,3356.97
11500,3356.79,3356.79
12500,3356.91,3356.91
13500,3356.64,3356.64
14500,3356.71,3356.71
15500,3356.81,3356.81
16500,3357.04,3357.04
17500,3356.69,3356.69
18500,3356.94,3356.94
19500,3357.04,3357.04
20500,3356.86,3356.86
21500,3356.89,3356.89
22500,3356.76,3356.76
23500,3356.91,3356.91
24500,3356.79,3356.79
25500,3356.88,3356.88
26500,3356.91,3356.91
27500,3356.97,3356.97
28500,3356.69,3356.69
29500,3356.91,3356.91
30000,3356.6,3356.6
