nprobe,QPS,Recall@10
500,2265.35,0.8956
1500,965.255,0.9796
2500,593.185,0.9848
3500,433.983,0.9848
4500,344.029,0.9848
5500,311.044,0.9848
6500,308.08,0.9848
7500,312.955,0.9848
8500,312.588,0.9848
9500,306.128,0.9848
10500,309.307,0.9848
11500,308.376,0.9848
12500,308.709,0.9848
13500,307.807,0.9848
14500,305.664,0.9848
15500,310.186,0.9848
16500,311.887,0.9848
17500,311.705,0.9848
18500,306.682,0.9848
19500,306.62,0.9848
20500,310.723,0.9848
21500,311.119,0.9848
22500,309.651,0.9848
23500,310.059,0.9848
24500,309.924,0.9848
25500,309.743,0.9848
26500,309.917,0.9848
27500,310.949,0.9848
28500,310.64,0.9848
29500,309.085,0.9848
30000,310.86,0.9848
