nprobe,QPS,Recall@10
500,23930,0.6082
1500,9294.02,0.8366
2500,6022.98,0.9096
3500,4472.83,0.9419
4500,3499.64,0.9586
5500,2874.4,0.9677
6500,2478.92,0.9738
7500,2156.03,0.9776
8500,1907.69,0.9793
9500,1735.81,0.981
10500,1577.14,0.9823
11500,1464.64,0.983
12500,1348.98,0.9833
13500,1259.11,0.9838
14500,1181.75,0.984
15500,1112.75,0.9841
16500,1046.19,0.9842
17500,998.899,0.9842
18500,950.639,0.9842
19500,913.815,0.9842
20500,875.13,0.9844
21500,841.332,0.9844
22500,808.502,0.9843
23500,747.943,0.9843
24500,756.173,0.9843
25500,732.657,0.9843
26500,712.016,0.9843
27500,694.244,0.9843
28500,677.172,0.9843
29500,659.924,0.9843
30000,653.046,0.9843
