nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1154.17,1154.17
1500,1153.84,1153.84
2500,1154.19,1154.19
3500,1153.93,1153.93
4500,1153.89,1153.89
5500,1153.9,1153.9
6500,1154.14,1154.14
7500,1154.09,1154.09
8500,1154.19,1154.19
9500,1153.88,1153.88
10500,1154.18,1154.18
11500,1154.11,1154.11
12500,1153.89,1153.89
13500,1154.08,1154.08
14500,1153.77,1153.77
15500,1154.06,1154.06
16500,1153.91,1153.91
17500,1153.86,1153.86
18500,1154.15,1154.15
19500,1153.86,1153.86
20500,1154.05,1154.05
21500,1154.04,1154.04
22500,1154.13,1154.13
23500,1153.92,1153.92
24500,1154,1154
25500,1153.77,1153.77
26500,1154,1154
27500,1153.86,1153.86
28500,1153.83,1153.83
29500,1154.11,1154.11
30000,1154.12,1154.12
