nprobe,peak_memory_before_MB,peak_memory_after_MB
500,100.027,100.027
1500,100.152,100.152
2500,100.113,100.113
3500,99.8477,99.8477
4500,99.9922,99.9922
5500,100.051,100.051
6500,100.051,100.051
7500,99.7812,99.7812
8500,100.074,100.074
9500,100.094,100.094
10500,100.027,100.027
11500,99.7656,99.7656
12500,99.9258,99.9258
13500,100.078,100.078
14500,100.055,100.055
15500,100,100
16500,100.012,100.012
17500,100.152,100.152
18500,100.07,100.07
19500,99.8594,99.8594
20500,99.8633,99.8633
21500,100.176,100.176
22500,100.016,100.016
23500,100.082,100.082
24500,99.6992,99.6992
25500,99.8125,99.8125
26500,100.164,100.164
27500,99.9531,99.9531
28500,99.9883,99.9883
29500,99.8906,99.8906
30000,99.9805,99.9805
