nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3357.01,3357.01
1500,3356.75,3356.75
2500,3356.85,3356.85
3500,3356.98,3356.98
4500,3356.87,3356.87
5500,3356.93,3356.93
6500,3356.71,3356.71
7500,3356.99,3356.99
8500,3356.75,3356.75
9500,3357.01,3357.01
10500,3356.73,3356.73
11500,3356.67,3356.67
12500,3356.78,3356.78
13500,3356.71,3356.71
14500,3356.69,3356.69
15500,3356.8,3356.8
16500,3356.84,3356.84
17500,3356.94,3356.94
18500,3356.65,3356.65
19500,3356.85,3356.85
20500,3356.81,3356.81
21500,3356.63,3356.63
22500,3356.99,3356.99
23500,3356.91,3356.91
24500,3356.71,3356.71
25500,3356.83,3356.83
26500,3356.75,3356.75
27500,3356.96,3356.96
28500,3356.85,3356.85
29500,3356.86,3356.86
30000,3356.99,3356.99
