nprobe,QPS,Recall@10
500,3861.46,0.9565
1500,4752.5,0.9825
2500,2317.05,0.9825
3500,2427.48,0.9825
4500,3910.12,0.9825
5500,1606.86,0.9825
6500,2007.05,0.9825
7500,1453.57,0.9825
8500,1571.43,0.9825
9500,2767.96,0.9825
10500,2563.65,0.9825
11500,2260.33,0.9825
12500,1971.9,0.9825
13500,1715.17,0.9825
14500,2128.3,0.9825
15500,2327.14,0.9825
16500,2445.65,0.9825
17500,2425.32,0.9825
18500,2583.83,0.9825
19500,2332.09,0.9825
20500,2432.19,0.9825
21500,1760.72,0.9825
22500,2677.09,0.9825
23500,2324.19,0.9825
24500,2625.39,0.9825
25500,2169.23,0.9825
26500,2429.43,0.9825
27500,2376.42,0.9825
28500,2599.29,0.9825
29500,2149.17,0.9825
30000,2401.73,0.9825
