nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1256.39,1256.39
1500,1256.24,1256.24
2500,1256.2,1256.2
3500,1256.37,1256.37
4500,1256.33,1256.33
5500,1256.32,1256.32
6500,1256.06,1256.06
7500,1256.26,1256.26
8500,1256.41,1256.41
9500,1256.39,1256.39
10500,1256.36,1256.36
11500,1256.36,1256.36
12500,1256.18,1256.18
13500,1256.06,1256.06
14500,1256.12,1256.12
15500,1256.04,1256.04
16500,1256.38,1256.38
17500,1256.2,1256.2
18500,1256.34,1256.34
19500,1256.28,1256.28
20500,1256.43,1256.43
21500,1256.18,1256.18
22500,1256.36,1256.36
23500,1256.12,1256.12
24500,1256.2,1256.2
25500,1256.24,1256.24
26500,1256.33,1256.33
27500,1256.18,1256.18
28500,1256.36,1256.36
29500,1256.23,1256.23
30000,1256.36,1256.36
