nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.81,3356.81
1500,3356.82,3356.82
2500,3356.75,3356.75
3500,3356.89,3356.89
4500,3356.9,3356.9
5500,3356.68,3356.68
6500,3356.77,3356.77
7500,3356.75,3356.75
8500,3356.71,3356.71
9500,3356.94,3356.94
10500,3356.95,3356.95
11500,3356.81,3356.81
12500,3356.61,3356.61
13500,3356.72,3356.72
14500,3356.85,3356.85
15500,3356.79,3356.79
16500,3356.75,3356.75
17500,3356.64,3356.64
18500,3356.75,3356.75
19500,3357,3357
20500,3356.94,3356.94
21500,3356.81,3356.81
22500,3356.75,3356.75
23500,3356.89,3356.89
24500,3356.8,3356.8
25500,3356.69,3356.69
26500,3356.83,3356.83
27500,3356.8,3356.8
28500,3356.73,3356.73
29500,3356.96,3356.96
30000,3356.73,3356.73
