nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3478.04,3478.04
1500,3478.09,3478.09
2500,3477.93,3477.93
3500,3478.11,3478.11
4500,3477.95,3477.95
5500,3478.04,3478.04
6500,3478.03,3478.03
7500,3477.81,3477.81
8500,3477.94,3477.94
9500,3478,3478
10500,3477.92,3477.92
11500,3477.98,3477.98
12500,3478.08,3478.08
13500,3477.97,3477.97
14500,3478.08,3478.08
15500,3478.02,3478.02
16500,3477.8,3477.8
17500,3477.92,3477.92
18500,3477.84,3477.84
19500,3478.06,3478.06
20500,3477.93,3477.93
21500,3477.8,3477.8
22500,3477.98,3477.98
23500,3477.73,3477.73
24500,3478.11,3478.11
25500,3477.95,3477.95
26500,3477.98,3477.98
27500,3478.1,3478.1
28500,3478.11,3478.11
29500,3478.03,3478.03
30000,3478.02,3478.02
