nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.77,3356.77
1500,3356.79,3356.79
2500,3356.84,3356.84
3500,3356.93,3356.93
4500,3356.91,3356.91
5500,3356.78,3356.78
6500,3356.96,3356.96
7500,3356.68,3356.68
8500,3356.94,3356.94
9500,3356.86,3356.86
10500,3356.93,3356.93
11500,3356.8,3356.8
12500,3356.65,3356.65
13500,3356.89,3356.89
14500,3356.97,3356.97
15500,3356.93,3356.93
16500,3356.65,3356.65
17500,3356.91,3356.91
18500,3356.78,3356.78
19500,3356.99,3356.99
20500,3356.96,3356.96
21500,3356.73,3356.73
22500,3356.96,3356.96
23500,3356.72,3356.72
24500,3356.8,3356.8
25500,3356.87,3356.87
26500,3356.77,3356.77
27500,3356.67,3356.67
28500,3356.96,3356.96
29500,3356.87,3356.87
30000,3356.94,3356.94
