nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1154.07,1154.07
1500,1153.99,1153.99
2500,1154.08,1154.08
3500,1153.86,1153.86
4500,1153.82,1153.82
5500,1153.88,1153.88
6500,1153.98,1153.98
7500,1154.06,1154.06
8500,1154.12,1154.12
9500,1154,1154
10500,1153.91,1153.91
11500,1153.87,1153.87
12500,1153.82,1153.82
13500,1153.95,1153.95
14500,1154.03,1154.03
15500,1153.73,1153.73
16500,1153.84,1153.84
17500,1153.92,1153.92
18500,1154.06,1154.06
19500,1153.98,1153.98
20500,1153.89,1153.89
21500,1153.84,1153.84
22500,1154.14,1154.14
23500,1154.02,1154.02
24500,1153.84,1153.84
25500,1153.95,1153.95
26500,1153.9,1153.9
27500,1153.77,1153.77
28500,1153.87,1153.87
29500,1154.06,1154.06
30000,1153.98,1153.98
