nprobe,QPS,Recall@10
500,3455.77,0.3687
1500,1850.63,0.5889
2500,1223.8,0.7034
3500,906.255,0.7666
4500,730.011,0.8062
5500,613.28,0.8346
6500,536.867,0.8614
7500,474.435,0.8809
8500,428.455,0.8953
9500,388.092,0.9092
10500,354.415,0.9197
11500,328.337,0.9281
12500,306.526,0.9347
13500,282.135,0.9407
14500,266.931,0.9469
15500,249.421,0.9516
16500,240.106,0.9565
17500,224.675,0.9592
18500,213.354,0.9623
19500,202.752,0.9643
20500,196.201,0.9669
21500,187.99,0.968
22500,180.582,0.9699
23500,173.231,0.9708
24500,165.962,0.9722
25500,160.929,0.974
26500,156.028,0.9755
27500,150.163,0.9764
28500,143.931,0.9771
29500,140.963,0.9776
30000,136.754,0.978
