nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1276.04,1276.04
1500,1276.03,1276.03
2500,1276.25,1276.25
3500,1275.91,1275.91
4500,1275.79,1275.79
5500,1276.04,1276.04
6500,1275.97,1275.97
7500,1275.93,1275.93
8500,1276.1,1276.1
9500,1276.16,1276.16
10500,1275.89,1275.89
11500,1275.93,1275.93
12500,1276.24,1276.24
13500,1275.87,1275.87
14500,1276.02,1276.02
15500,1275.96,1275.96
16500,1276.09,1276.09
17500,1275.87,1275.87
18500,1276.08,1276.08
19500,1276.08,1276.08
20500,1276.05,1276.05
21500,1276.11,1276.11
22500,1275.91,1275.91
23500,1276.1,1276.1
24500,1276.06,1276.06
25500,1275.95,1275.95
26500,1276.12,1276.12
27500,1276.09,1276.09
28500,1275.91,1275.91
29500,1276.15,1276.15
30000,1276.18,1276.18
