nprobe,QPS,Recall@10
500,3450.67,0.4597
1500,1844.57,0.7194
2500,1211.44,0.8212
3500,897.231,0.8737
4500,712.885,0.9065
5500,609.511,0.9285
6500,532.47,0.9439
7500,471.087,0.9536
8500,417.149,0.9628
9500,378.307,0.9688
10500,345.112,0.9737
11500,319.948,0.9775
12500,298.909,0.9809
13500,275.184,0.9826
14500,257.667,0.9846
15500,244.377,0.9854
16500,229.455,0.9865
17500,218.661,0.9869
18500,206.446,0.9874
19500,196.274,0.9877
20500,188.481,0.988
21500,177.316,0.9879
22500,170.924,0.988
23500,163.956,0.9882
24500,158.261,0.9882
25500,151.563,0.9883
26500,146.423,0.9885
27500,142.204,0.9885
28500,136.547,0.9886
29500,133.15,0.9886
30000,130.248,0.9885
