nprobe,QPS,Recall@10
500,6085.43,0.6195
1500,3978.28,0.806
2500,3510.72,0.8695
3500,2574.3,0.913
4500,2312.08,0.933
5500,1722.49,0.948
6500,1859.53,0.956
7500,1103.92,0.961
8500,909.36,0.965
9500,960.741,0.9705
10500,1064.83,0.9765
11500,991.186,0.98
12500,873.147,0.982
13500,644.707,0.983
14500,742.949,0.9865
15500,769.251,0.986
16500,765.281,0.988
17500,719.322,0.9885
18500,678.038,0.9885
19500,697.847,0.9885
20500,612.595,0.9885
21500,535.214,0.9885
22500,515.996,0.9885
23500,444.449,0.9885
24500,410.998,0.9885
25500,391.83,0.989
26500,386.888,0.989
27500,378.414,0.9895
28500,355.766,0.9895
29500,357.279,0.9895
30000,375.682,0.9895
