nprobe,QPS,Recall@10
500,10809.2,0.92
1500,6280.46,0.9715
2500,17502.1,0.9775
3500,10764.7,0.98
4500,8979.78,0.98
5500,4590.66,0.98
6500,4191.48,0.9795
7500,18836,0.9795
8500,16535.5,0.9795
9500,10523,0.9795
10500,6183.87,0.9795
11500,13698.3,0.9795
12500,6526.57,0.9795
13500,5108.98,0.9795
14500,6202.45,0.9795
15500,10306.9,0.9795
16500,5731.68,0.9795
17500,5066.93,0.9795
18500,4802.11,0.9795
19500,4198.84,0.9795
20500,7887.17,0.9795
21500,4477.21,0.9795
22500,2542.97,0.9795
23500,4805.6,0.9795
24500,3813.13,0.9795
25500,5522.07,0.9795
26500,2975.37,0.9795
27500,3145.05,0.9795
28500,3480.46,0.9795
29500,4718.97,0.9795
30000,3631.3,0.9795
