nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.84,1153.84
1500,1153.7,1153.7
2500,1154.16,1154.16
3500,1154.04,1154.04
4500,1154.05,1154.05
5500,1154.15,1154.15
6500,1154.08,1154.08
7500,1153.82,1153.82
8500,1154.06,1154.06
9500,1154.06,1154.06
10500,1154.09,1154.09
11500,1153.93,1153.93
12500,1154.1,1154.1
13500,1153.98,1153.98
14500,1154.06,1154.06
15500,1153.83,1153.83
16500,1154.12,1154.12
17500,1153.84,1153.84
18500,1153.77,1153.77
19500,1153.96,1153.96
20500,1154.03,1154.03
21500,1153.9,1153.9
22500,1153.97,1153.97
23500,1153.94,1153.94
24500,1154.19,1154.19
25500,1154.15,1154.15
26500,1154.11,1154.11
27500,1153.96,1153.96
28500,1154.03,1154.03
29500,1153.86,1153.86
30000,1154.16,1154.16
