nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1154.09,1154.09
1500,1154.18,1154.18
2500,1154.08,1154.08
3500,1154.05,1154.05
4500,1153.95,1153.95
5500,1154.05,1154.05
6500,1154.02,1154.02
7500,1154.04,1154.04
8500,1154.06,1154.06
9500,1154.05,1154.05
10500,1153.84,1153.84
11500,1153.9,1153.9
12500,1153.87,1153.87
13500,1154.04,1154.04
14500,1153.95,1153.95
15500,1154.04,1154.04
16500,1153.96,1153.96
17500,1154.06,1154.06
18500,1154.08,1154.08
19500,1153.7,1153.7
20500,1153.99,1153.99
21500,1154.14,1154.14
22500,1153.94,1153.94
23500,1153.99,1153.99
24500,1154.07,1154.07
25500,1154.15,1154.15
26500,1154.14,1154.14
27500,1154.09,1154.09
28500,1153.98,1153.98
29500,1154.15,1154.15
30000,1153.96,1153.96
