nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.07,1019.07
1500,1019.16,1019.16
2500,1019.05,1019.05
3500,1018.92,1018.92
4500,1018.89,1018.89
5500,1019.08,1019.08
6500,1019.01,1019.01
7500,1018.99,1018.99
8500,1019.04,1019.04
9500,1018.95,1018.95
10500,1018.91,1018.91
11500,1019,1019
12500,1019.16,1019.16
13500,1019.07,1019.07
14500,1018.8,1018.8
15500,1019.14,1019.14
16500,1018.98,1018.98
17500,1019.15,1019.15
18500,1018.96,1018.96
19500,1019.07,1019.07
20500,1018.98,1018.98
21500,1019.2,1019.2
22500,1018.96,1018.96
23500,1018.95,1018.95
24500,1018.99,1018.99
25500,1018.81,1018.81
26500,1019.09,1019.09
27500,1018.75,1018.75
28500,1019.12,1019.12
29500,1019.24,1019.24
30000,1019.12,1019.12
