nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1276.13,1276.13
1500,1275.89,1275.89
2500,1276.01,1276.01
3500,1276.18,1276.18
4500,1275.8,1275.8
5500,1276.2,1276.2
6500,1275.97,1275.97
7500,1275.83,1275.83
8500,1275.99,1275.99
9500,1276.21,1276.21
10500,1275.95,1275.95
11500,1275.95,1275.95
12500,1276.01,1276.01
13500,1276.24,1276.24
14500,1276.1,1276.1
15500,1275.89,1275.89
16500,1276.19,1276.19
17500,1275.89,1275.89
18500,1276.18,1276.18
19500,1276.12,1276.12
20500,1276.02,1276.02
21500,1276.07,1276.07
22500,1275.96,1275.96
23500,1275.93,1275.93
24500,1276.05,1276.05
25500,1276.15,1276.15
26500,1276.02,1276.02
27500,1276.22,1276.22
28500,1276.04,1276.04
29500,1275.89,1275.89
30000,1276.21,1276.21
