nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.04,1019.04
1500,1018.92,1018.92
2500,1018.82,1018.82
3500,1019.06,1019.06
4500,1019.06,1019.06
5500,1019.06,1019.06
6500,1019.15,1019.15
7500,1018.93,1018.93
8500,1019.01,1019.01
9500,1019.07,1019.07
10500,1019.12,1019.12
11500,1019.21,1019.21
12500,1018.97,1018.97
13500,1018.96,1018.96
14500,1018.98,1018.98
15500,1018.95,1018.95
16500,1019.17,1019.17
17500,1019.13,1019.13
18500,1019.18,1019.18
19500,1018.81,1018.81
20500,1019.11,1019.11
21500,1019.02,1019.02
22500,1019.14,1019.14
23500,1018.87,1018.87
24500,1019.16,1019.16
25500,1018.82,1018.82
26500,1018.75,1018.75
27500,1019.07,1019.07
28500,1018.98,1018.98
29500,1018.86,1018.86
30000,1019.03,1019.03
