nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.09,1019.09
1500,1019.01,1019.01
2500,1019.18,1019.18
3500,1019.21,1019.21
4500,1018.98,1018.98
5500,1019.07,1019.07
6500,1019.07,1019.07
7500,1019.17,1019.17
8500,1018.82,1018.82
9500,1018.96,1018.96
10500,1019.13,1019.13
11500,1019.09,1019.09
12500,1019.06,1019.06
13500,1018.93,1018.93
14500,1019.04,1019.04
15500,1018.98,1018.98
16500,1018.87,1018.87
17500,1019.01,1019.01
18500,1019.14,1019.14
19500,1018.97,1018.97
20500,1019.13,1019.13
21500,1019,1019
22500,1018.86,1018.86
23500,1019.03,1019.03
24500,1018.98,1018.98
25500,1019.11,1019.11
26500,1018.92,1018.92
27500,1018.88,1018.88
28500,1019.17,1019.17
29500,1018.99,1018.99
30000,1019.23,1019.23
