nprobe,QPS,Recall@10
500,74840.5,0.71853
1500,33693.3,0.92287
2500,21574.3,0.96929
3500,15726,0.98172
4500,11325.6,0.98428
5500,9932.96,0.98463
6500,9100.74,0.98463
7500,8996.64,0.98463
8500,9013.22,0.98463
9500,8971.35,0.98463
10500,8948.64,0.98463
11500,8941.93,0.98463
12500,9033.25,0.98463
13500,8997.79,0.98463
14500,9012.13,0.98463
15500,8937.32,0.98463
16500,8864.55,0.98463
17500,9073.58,0.98463
18500,9009.21,0.98463
19500,8889.03,0.98463
20500,9022.81,0.98463
21500,8956.55,0.98463
22500,8921.14,0.98463
23500,8921.23,0.98463
24500,8293.5,0.98463
25500,9005.64,0.98463
26500,9016.81,0.98463
27500,8989.69,0.98463
28500,9090.94,0.98463
29500,8887.4,0.98463
30000,8963.42,0.98463
