nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.2,7505.2
1500,7505.2,7505.2
2500,7505.17,7505.17
3500,7505.14,7505.14
4500,7505.29,7505.29
5500,7505.05,7505.05
6500,7504.91,7504.91
7500,7505.08,7505.08
8500,7504.89,7504.89
9500,7505.14,7505.14
10500,7504.96,7504.96
11500,7505.19,7505.19
12500,7505.16,7505.16
13500,7505.11,7505.11
14500,7505.3,7505.3
15500,7505.01,7505.01
16500,7505.18,7505.18
17500,7505.19,7505.19
18500,7505,7505
19500,7505.27,7505.27
20500,7504.97,7504.97
21500,7505.14,7505.14
22500,7504.91,7504.91
23500,7505.13,7505.13
24500,7505.15,7505.15
25500,7504.95,7504.95
26500,7505.11,7505.11
27500,7505,7505
28500,7505.27,7505.27
29500,7504.95,7504.95
30000,7505.17,7505.17
