nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.86,1111.86
1500,1111.91,1111.91
2500,1111.86,1111.86
3500,1111.75,1111.75
4500,1111.91,1111.91
5500,1111.99,1111.99
6500,1111.99,1111.99
7500,1111.89,1111.89
8500,1111.9,1111.9
9500,1111.79,1111.79
10500,1111.76,1111.76
11500,1111.82,1111.82
12500,1111.96,1111.96
13500,1112.01,1112.01
14500,1111.95,1111.95
15500,1111.79,1111.79
16500,1111.95,1111.95
17500,1111.58,1111.58
18500,1111.86,1111.86
19500,1111.66,1111.66
20500,1111.79,1111.79
21500,1111.66,1111.66
22500,1111.66,1111.66
23500,1111.76,1111.76
24500,1111.89,1111.89
25500,1111.64,1111.64
26500,1111.9,1111.9
27500,1111.58,1111.58
28500,1111.76,1111.76
29500,1111.82,1111.82
30000,1111.99,1111.99
500,1111.7,1111.7
1500,1111.67,1111.67
2500,1111.96,1111.96
3500,1111.73,1111.73
4500,1111.82,1111.82
5500,1111.7,1111.7
6500,1111.98,1111.98
7500,1111.77,1111.77
8500,1111.95,1111.95
9500,1111.85,1111.85
10500,1111.64,1111.64
11500,1111.83,1111.83
12500,1111.89,1111.89
13500,1111.65,1111.65
14500,1111.84,1111.84
15500,1111.73,1111.73
16500,1111.58,1111.58
17500,1111.69,1111.69
18500,1111.96,1111.96
19500,1111.66,1111.66
20500,1111.95,1111.95
21500,1111.99,1111.99
22500,1111.51,1111.51
23500,1111.65,1111.65
24500,1111.71,1111.71
25500,1111.53,1111.53
26500,1111.84,1111.84
27500,1111.71,1111.71
28500,1111.62,1111.62
29500,1111.82,1111.82
30000,1111.65,1111.65
