nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1153.87,1153.87
1500,1153.9,1153.9
2500,1154.08,1154.08
3500,1153.95,1153.95
4500,1154.14,1154.14
5500,1154,1154
6500,1153.92,1153.92
7500,1153.95,1153.95
8500,1153.88,1153.88
9500,1154.11,1154.11
10500,1154.12,1154.12
11500,1154.13,1154.13
12500,1153.9,1153.9
13500,1154.01,1154.01
14500,1153.95,1153.95
15500,1154.12,1154.12
16500,1154,1154
17500,1154.12,1154.12
18500,1153.81,1153.81
19500,1153.77,1153.77
20500,1154.02,1154.02
21500,1153.93,1153.93
22500,1153.9,1153.9
23500,1153.86,1153.86
24500,1154.09,1154.09
25500,1153.86,1153.86
26500,1153.84,1153.84
27500,1153.84,1153.84
28500,1154.02,1154.02
29500,1153.9,1153.9
30000,1153.89,1153.89
