nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.18,1019.18
1500,1019.16,1019.16
2500,1019.09,1019.09
3500,1018.95,1018.95
4500,1018.95,1018.95
5500,1019.05,1019.05
6500,1019.07,1019.07
7500,1019.11,1019.11
8500,1018.82,1018.82
9500,1018.86,1018.86
10500,1019.07,1019.07
11500,1019.09,1019.09
12500,1018.88,1018.88
13500,1019.17,1019.17
14500,1019.1,1019.1
15500,1018.98,1018.98
16500,1019.19,1019.19
17500,1019.14,1019.14
18500,1019.09,1019.09
19500,1019.05,1019.05
20500,1019,1019
21500,1018.93,1018.93
22500,1019.09,1019.09
23500,1019.06,1019.06
24500,1018.85,1018.85
25500,1018.93,1018.93
26500,1019,1019
27500,1018.84,1018.84
28500,1019,1019
29500,1019.23,1019.23
30000,1018.99,1018.99
