nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.75,3356.75
1500,3356.71,3356.71
2500,3356.77,3356.77
3500,3356.91,3356.91
4500,3356.87,3356.87
5500,3356.75,3356.75
6500,3356.77,3356.77
7500,3356.95,3356.95
8500,3356.89,3356.89
9500,3356.94,3356.94
10500,3356.75,3356.75
11500,3356.75,3356.75
12500,3356.66,3356.66
13500,3357,3357
14500,3356.72,3356.72
15500,3356.62,3356.62
16500,3356.75,3356.75
17500,3356.85,3356.85
18500,3356.78,3356.78
19500,3356.94,3356.94
20500,3356.88,3356.88
21500,3356.78,3356.78
22500,3356.93,3356.93
23500,3356.95,3356.95
24500,3356.81,3356.81
25500,3356.68,3356.68
26500,3356.97,3356.97
27500,3356.93,3356.93
28500,3356.91,3356.91
29500,3356.94,3356.94
30000,3356.91,3356.91
