nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.77,3356.77
1500,3356.86,3356.86
2500,3356.78,3356.78
3500,3356.76,3356.76
4500,3356.67,3356.67
5500,3356.73,3356.73
6500,3356.86,3356.86
7500,3356.79,3356.79
8500,3356.8,3356.8
9500,3356.73,3356.73
10500,3356.93,3356.93
11500,3356.88,3356.88
12500,3356.58,3356.58
13500,3356.68,3356.68
14500,3356.75,3356.75
15500,3357.04,3357.04
16500,3356.82,3356.82
17500,3357.02,3357.02
18500,3356.83,3356.83
19500,3356.73,3356.73
20500,3356.78,3356.78
21500,3356.98,3356.98
22500,3356.99,3356.99
23500,3356.91,3356.91
24500,3356.91,3356.91
25500,3356.8,3356.8
26500,3356.8,3356.8
27500,3356.84,3356.84
28500,3356.96,3356.96
29500,3356.98,3356.98
30000,3356.75,3356.75
500,3356.93,3356.93
1500,3356.87,3356.87
2500,3357.02,3357.02
3500,3356.93,3356.93
4500,3356.89,3356.89
5500,3356.66,3356.66
6500,3356.73,3356.73
7500,3356.89,3356.89
8500,3356.75,3356.75
9500,3356.71,3356.71
10500,3356.98,3356.98
11500,3356.87,3356.87
12500,3356.88,3356.88
13500,3356.81,3356.81
14500,3356.86,3356.86
15500,3357,3357
16500,3356.88,3356.88
17500,3356.86,3356.86
18500,3356.81,3356.81
19500,3356.94,3356.94
20500,3356.91,3356.91
21500,3356.83,3356.83
22500,3356.85,3356.85
23500,3356.68,3356.68
24500,3356.95,3356.95
25500,3356.8,3356.8
26500,3356.81,3356.81
27500,3356.93,3356.93
28500,3356.75,3356.75
29500,3356.89,3356.89
30000,3356.56,3356.56
