nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.04,1019.04
1500,1019.02,1019.02
2500,1019.11,1019.11
3500,1019.17,1019.17
4500,1019.09,1019.09
5500,1018.87,1018.87
6500,1018.89,1018.89
7500,1018.87,1018.87
8500,1018.87,1018.87
9500,1018.92,1018.92
10500,1019.04,1019.04
11500,1018.82,1018.82
12500,1018.88,1018.88
13500,1019.15,1019.15
14500,1019.01,1019.01
15500,1019.12,1019.12
16500,1019.1,1019.1
17500,1019.16,1019.16
18500,1019.02,1019.02
19500,1018.98,1018.98
20500,1018.98,1018.98
21500,1018.99,1018.99
22500,1019.12,1019.12
23500,1019.02,1019.02
24500,1018.89,1018.89
25500,1018.74,1018.74
26500,1018.97,1018.97
27500,1018.88,1018.88
28500,1019.12,1019.12
29500,1019.13,1019.13
30000,1018.93,1018.93
