nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1019.24,1019.24
1500,1018.97,1018.97
2500,1019.08,1019.08
3500,1019.18,1019.18
4500,1019.17,1019.17
5500,1019.24,1019.24
6500,1019.13,1019.13
7500,1019.05,1019.05
8500,1019.09,1019.09
9500,1018.96,1018.96
10500,1019.09,1019.09
11500,1019.16,1019.16
12500,1019.05,1019.05
13500,1019.11,1019.11
14500,1018.83,1018.83
15500,1019.02,1019.02
16500,1019.21,1019.21
17500,1018.81,1018.81
18500,1019.13,1019.13
19500,1019.01,1019.01
20500,1019.03,1019.03
21500,1019.05,1019.05
22500,1018.93,1018.93
23500,1019.01,1019.01
24500,1019.05,1019.05
25500,1019.09,1019.09
26500,1018.91,1018.91
27500,1019.2,1019.2
28500,1019.16,1019.16
29500,1019.21,1019.21
30000,1019.14,1019.14
