nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.12,7627.12
1500,7627.16,7627.16
2500,7627.37,7627.37
3500,7626.95,7626.95
4500,7627.04,7627.04
5500,7627.27,7627.27
6500,7627,7627
7500,7627.18,7627.18
8500,7627.04,7627.04
9500,7627.16,7627.16
10500,7627.12,7627.12
11500,7627.3,7627.3
12500,7627.24,7627.24
13500,7627.12,7627.12
14500,7627.18,7627.18
15500,7627.21,7627.21
16500,7627.11,7627.11
17500,7627.16,7627.16
18500,7627.18,7627.18
19500,7627.18,7627.18
20500,7627.15,7627.15
21500,7627.2,7627.2
22500,7627.2,7627.2
23500,7627.06,7627.06
24500,7627.32,7627.32
25500,7627.01,7627.01
26500,7627.07,7627.07
27500,7627.24,7627.24
28500,7627.18,7627.18
29500,7627.24,7627.24
30000,7627.13,7627.13
