nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7505.23,7505.23
1500,7505.14,7505.14
2500,7504.96,7504.96
3500,7505.12,7505.12
4500,7505.3,7505.3
5500,7505.23,7505.23
6500,7504.96,7504.96
7500,7505.18,7505.18
8500,7505,7505
9500,7505.09,7505.09
10500,7505.22,7505.22
11500,7505.19,7505.19
12500,7505.11,7505.11
13500,7505.07,7505.07
14500,7505.13,7505.13
15500,7505.15,7505.15
16500,7505.02,7505.02
17500,7505.21,7505.21
18500,7505.14,7505.14
19500,7505.01,7505.01
20500,7505.23,7505.23
21500,7505.26,7505.26
22500,7505.23,7505.23
23500,7505.12,7505.12
24500,7505.04,7505.04
25500,7505.17,7505.17
26500,7504.93,7504.93
27500,7505.08,7505.08
28500,7505.17,7505.17
29500,7505.13,7505.13
30000,7505.17,7505.17
