nprobe,peak_memory_before_MB,peak_memory_after_MB
500,3356.91,3356.91
1500,3356.72,3356.72
2500,3356.92,3356.92
3500,3356.69,3356.69
4500,3356.82,3356.82
5500,3356.86,3356.86
6500,3356.77,3356.77
7500,3356.78,3356.78
8500,3356.84,3356.84
9500,3356.93,3356.93
10500,3356.81,3356.81
11500,3356.82,3356.82
12500,3356.86,3356.86
13500,3356.88,3356.88
14500,3356.96,3356.96
15500,3356.84,3356.84
16500,3356.96,3356.96
17500,3357.01,3357.01
18500,3356.96,3356.96
19500,3356.81,3356.81
20500,3356.82,3356.82
21500,3356.78,3356.78
22500,3357,3357
23500,3356.78,3356.78
24500,3356.93,3356.93
25500,3356.87,3356.87
26500,3356.79,3356.79
27500,3356.91,3356.91
28500,3356.93,3356.93
29500,3356.75,3356.75
30000,3356.99,3356.99
