nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.64,1111.64
1500,1111.84,1111.84
2500,1111.89,1111.89
3500,1111.7,1111.7
4500,1111.86,1111.86
5500,1111.76,1111.76
6500,1111.52,1111.52
7500,1111.62,1111.62
8500,1111.98,1111.98
9500,1111.64,1111.64
10500,1111.85,1111.85
11500,1111.84,1111.84
12500,1111.92,1111.92
13500,1111.71,1111.71
14500,1111.95,1111.95
15500,1111.57,1111.57
16500,1111.93,1111.93
17500,1112,1112
18500,1111.73,1111.73
19500,1111.78,1111.78
20500,1111.89,1111.89
21500,1111.67,1111.67
22500,1111.89,1111.89
23500,1111.87,1111.87
24500,1111.85,1111.85
25500,1111.75,1111.75
26500,1111.82,1111.82
27500,1111.79,1111.79
28500,1111.89,1111.89
29500,1111.79,1111.79
30000,1111.95,1111.95
