nprobe,QPS,Recall@10
500,25534.5,0.1263
1500,9216,0.2889
2500,5816.05,0.3914
3500,4575.38,0.4619
4500,3642,0.5147
5500,3045.92,0.5629
6500,2588.92,0.5977
7500,2236.13,0.628
8500,2006.97,0.6584
9500,1784.68,0.6821
10500,1613.15,0.7052
11500,1497.02,0.7268
12500,1389.81,0.7431
13500,1284.37,0.759
14500,1198.16,0.7743
15500,1116.2,0.786
16500,1058.19,0.7971
17500,995.64,0.8077
18500,942.107,0.8173
19500,897.126,0.8257
20500,852.84,0.8352
21500,816.913,0.8412
22500,777.037,0.8501
23500,742.021,0.8581
24500,716.566,0.8643
25500,683.698,0.8711
26500,657.76,0.8756
27500,637.185,0.8819
28500,613.843,0.8864
29500,592.62,0.8917
30000,572.735,0.8937
