nprobe,peak_memory_before_MB,peak_memory_after_MB
500,1111.65,1111.65
1500,1111.69,1111.69
2500,1111.82,1111.82
3500,1111.79,1111.79
4500,1111.84,1111.84
5500,1111.6,1111.6
6500,1111.79,1111.79
7500,1111.86,1111.86
8500,1111.76,1111.76
9500,1111.76,1111.76
10500,1111.8,1111.8
11500,1111.65,1111.65
12500,1111.89,1111.89
13500,1111.87,1111.87
14500,1111.75,1111.75
15500,1111.8,1111.8
16500,1111.84,1111.84
17500,1111.9,1111.9
18500,1111.85,1111.85
19500,1111.95,1111.95
20500,1111.85,1111.85
21500,1111.72,1111.72
22500,1111.91,1111.91
23500,1111.7,1111.7
24500,1111.71,1111.71
25500,1111.89,1111.89
26500,1111.89,1111.89
27500,1111.76,1111.76
28500,1111.76,1111.76
29500,1111.74,1111.74
30000,1112,1112
