nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.32,7627.32
1500,7627.31,7627.31
2500,7626.87,7626.87
3500,7627.21,7627.21
4500,7627.02,7627.02
5500,7627.29,7627.29
6500,7627.26,7627.26
7500,7627.24,7627.24
8500,7627.08,7627.08
9500,7627.33,7627.33
10500,7627.34,7627.34
11500,7627.27,7627.27
12500,7627.22,7627.22
13500,7627.02,7627.02
14500,7627.33,7627.33
15500,7627.04,7627.04
16500,7626.98,7626.98
17500,7627.05,7627.05
18500,7627.24,7627.24
19500,7627.1,7627.1
20500,7627.11,7627.11
21500,7627.29,7627.29
22500,7627.09,7627.09
23500,7627.3,7627.3
24500,7627.08,7627.08
25500,7627.1,7627.1
26500,7627.12,7627.12
27500,7627,7627
28500,7627.25,7627.25
29500,7627.05,7627.05
30000,7627.03,7627.03
