nprobe,QPS,Recall@10
500,6112.81,0.9045
1500,3277.19,0.975
2500,2814.07,0.985
3500,2234.3,0.988
4500,2025.05,0.9875
5500,1916.18,0.9875
6500,1594.49,0.988
7500,1446.98,0.988
8500,1286.8,0.988
9500,1224.49,0.988
10500,1152.07,0.988
11500,1173.4,0.988
12500,1249.31,0.988
13500,1126.02,0.988
14500,1018.53,0.988
15500,850.52,0.988
16500,968.604,0.988
17500,930.465,0.988
18500,981.912,0.988
19500,895.297,0.988
20500,829.989,0.988
21500,803.379,0.988
22500,919.071,0.988
23500,854.327,0.988
24500,1056.65,0.988
25500,802.828,0.988
26500,985.571,0.988
27500,798.083,0.988
28500,843.137,0.988
29500,970.887,0.988
30000,823.528,0.988
