nprobe,QPS,Recall@10
500,37844.5,0.9715
1500,8528.76,0.9715
2500,11621.5,0.9715
3500,10008.9,0.9715
4500,10312.4,0.9715
5500,9703.17,0.9715
6500,7144.61,0.9715
7500,11610,0.9715
8500,6570.5,0.9715
9500,12623,0.9715
10500,11465.7,0.9715
11500,8030.62,0.9715
12500,11602.6,0.9715
13500,10130.2,0.9715
14500,11445,0.9715
15500,8422.9,0.9715
16500,11591.4,0.9715
17500,11138.9,0.9715
18500,6407.22,0.9715
19500,11337.2,0.9715
20500,8090.87,0.9715
21500,6421.71,0.9715
22500,15400.8,0.9715
23500,2728.47,0.9715
24500,4214.51,0.9715
25500,6074.33,0.9715
26500,11371.3,0.9715
27500,10699.8,0.9715
28500,7871.09,0.9715
29500,7856.82,0.9715
30000,4264.81,0.9715
