nprobe,QPS,Recall@10
500,6620.82,0.755
1500,5004.85,0.9325
2500,6336.1,0.9625
3500,4460.27,0.97
4500,4415.39,0.974
5500,3378.96,0.977
6500,3484.4,0.9775
7500,3207.46,0.978
8500,2892.33,0.9785
9500,2708.65,0.9785
10500,1668.14,0.9785
11500,1373.33,0.9785
12500,1818.07,0.979
13500,1570.5,0.979
14500,1382.46,0.979
15500,1275.61,0.979
16500,911.464,0.979
17500,931.318,0.979
18500,1204.18,0.979
19500,782.786,0.979
20500,609.54,0.979
21500,975.29,0.979
22500,769.266,0.979
23500,780.461,0.979
24500,901.147,0.979
25500,936.115,0.9795
26500,980.999,0.9795
27500,875.72,0.9795
28500,876.58,0.9795
29500,803.983,0.9795
30000,867.384,0.9795
