nprobe,QPS,Recall@10
500,5199.04,0.2095
1500,4237.77,0.4685
2500,7041.69,0.6165
3500,5325.62,0.703
4500,5715.5,0.756
5500,4292.02,0.8005
6500,3884.46,0.825
7500,3536.94,0.861
8500,3559,0.881
9500,2819.03,0.9005
10500,3040.72,0.911
11500,2761.47,0.9195
12500,2762.92,0.9285
13500,2309.91,0.9375
14500,2186.1,0.9425
15500,2229.22,0.9465
16500,2069.17,0.95
17500,2137.23,0.9525
18500,1573.31,0.957
19500,1524.06,0.957
20500,1478.24,0.961
21500,1512.38,0.964
22500,1571.58,0.9675
23500,1609.41,0.969
24500,1374.13,0.9725
25500,1488.01,0.9725
26500,1315.09,0.9735
27500,1492.22,0.9745
28500,1315.21,0.975
29500,1328.73,0.9755
30000,1273.87,0.976
