nprobe,QPS,Recall@10
500,6866.55,0.9735
1500,3902.19,0.9755
2500,2738.08,0.9755
3500,2088.54,0.9755
4500,2095.42,0.9755
5500,2072.31,0.9755
6500,2057.26,0.9755
7500,2028.29,0.9755
8500,2091.72,0.9755
9500,2045.52,0.9755
10500,2033.98,0.9755
11500,2061.13,0.9755
12500,2063.92,0.9755
13500,2077.77,0.9755
14500,2059.67,0.9755
15500,2067.49,0.9755
16500,2085.52,0.9755
17500,2084.43,0.9755
18500,1983.97,0.9755
19500,2073.12,0.9755
20500,2090.88,0.9755
21500,2098.95,0.9755
22500,2076.41,0.9755
23500,2029.54,0.9755
24500,2076.81,0.9755
25500,2042.6,0.9755
26500,2004.26,0.9755
27500,2071.81,0.9755
28500,2070.87,0.9755
29500,2037.32,0.9755
30000,2053.06,0.9755
