nprobe,QPS,Recall@10
500,5363.76,0.9725
1500,7478.67,0.9725
2500,4835.97,0.9725
3500,9652.26,0.9725
4500,4587.96,0.9725
5500,4642.38,0.9725
6500,4988.51,0.9725
7500,6986.04,0.9725
8500,6752.61,0.9725
9500,8452.25,0.9725
10500,6330.5,0.9725
11500,6112.38,0.9725
12500,5457.39,0.9725
13500,4317.21,0.9725
14500,7426.3,0.9725
15500,6920.68,0.9725
16500,5332.48,0.9725
17500,4275.7,0.9725
18500,6039.92,0.9725
19500,5128.15,0.9725
20500,6502.43,0.9725
21500,5457.48,0.9725
22500,17069.8,0.9725
23500,5748.2,0.9725
24500,4291.74,0.9725
25500,5731.33,0.9725
26500,3671.86,0.9725
27500,8368.25,0.9725
28500,6556.75,0.9725
29500,4521.2,0.9725
30000,6252.88,0.9725
