nprobe,peak_memory_before_MB,peak_memory_after_MB
500,7627.16,7627.16
1500,7627.02,7627.02
2500,7627.26,7627.26
3500,7627.32,7627.32
4500,7627.18,7627.18
5500,7627.12,7627.12
6500,7627.16,7627.16
7500,7627.18,7627.18
8500,7627.24,7627.24
9500,7627.14,7627.14
10500,7627.35,7627.35
11500,7627.21,7627.21
12500,7627.09,7627.09
13500,7627.18,7627.18
14500,7627.22,7627.22
15500,7627.35,7627.35
16500,7627.06,7627.06
17500,7627.14,7627.14
18500,7627.01,7627.01
19500,7627.12,7627.12
20500,7627.31,7627.31
21500,7627.14,7627.14
22500,7627.13,7627.13
23500,7627.07,7627.07
24500,7627.15,7627.15
25500,7627.01,7627.01
26500,7627.18,7627.18
27500,7627.12,7627.12
28500,7627.07,7627.07
29500,7627.36,7627.36
30000,7627.27,7627.27
